ObjectId;Country;ISO3;Indicator;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;Source
1;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: Drought;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;1;;;1;;;;;;;1;;;1;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
2;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: Extreme temperature;;;;;;;;;;;1;1;;;;;;;;;;2;;;;1;;;1;;;;1;;;;;;;;;;;1;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
3;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: Flood;1;;;;;;;;1;;;3;2;;;2;1;2;1;1;;;4;8;2;8;7;7;1;3;2;2;6;4;2;1;4;1;3;6;5;2;5;2;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
4;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: Landslide;;;;;;;;1;;;;;;2;;1;;1;1;;;;1;;;;2;;;1;2;;3;1;;4;;2;1;1;1;1;1;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
5;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: Storm;;;;;;;;;;;;;;1;;;;;;;;;;;;1;2;;;;;1;;;1;;;2;;;1;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
6;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: TOTAL;1;;;;;;;1;1;;1;4;2;3;;3;1;3;2;2;1;2;5;8;2;10;12;7;3;4;4;4;10;5;3;5;4;5;5;7;7;4;6;3;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
7;Afghanistan, Islamic Rep. of;AFG;Climate related disasters frequency, Number of Disasters: Wildfire;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
8;Albania;ALB;Climate related disasters frequency, Number of Disasters: Drought;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
9;Albania;ALB;Climate related disasters frequency, Number of Disasters: Extreme temperature;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;1;;;;;1;;;;;1;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
10;Albania;ALB;Climate related disasters frequency, Number of Disasters: Flood;;;;;;;;;;;;;1;;;2;;1;;;;;1;;1;1;;;;1;1;;;;;3;1;1;1;;;1;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
11;Albania;ALB;Climate related disasters frequency, Number of Disasters: Landslide;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
12;Albania;ALB;Climate related disasters frequency, Number of Disasters: Storm;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
13;Albania;ALB;Climate related disasters frequency, Number of Disasters: TOTAL;;;;;;2;;;;1;;;1;;;2;;1;;;;;2;;2;2;;2;;1;1;;1;;;3;1;2;1;;;1;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
14;Albania;ALB;Climate related disasters frequency, Number of Disasters: Wildfire;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
15;Algeria;DZA;Climate related disasters frequency, Number of Disasters: Drought;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
16;Algeria;DZA;Climate related disasters frequency, Number of Disasters: Extreme temperature;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;1;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
17;Algeria;DZA;Climate related disasters frequency, Number of Disasters: Flood;;1;1;;1;1;;;;;;;1;1;2;;1;1;;1;4;1;3;3;2;2;1;6;1;2;;1;2;;;2;;;1;;;2;;1;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
18;Algeria;DZA;Climate related disasters frequency, Number of Disasters: Landslide;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
19;Algeria;DZA;Climate related disasters frequency, Number of Disasters: Storm;;;;;;;;;1;;;;;;;;;;;;1;;;1;;1;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
20;Algeria;DZA;Climate related disasters frequency, Number of Disasters: TOTAL;;2;1;;1;1;;;1;;;;1;2;3;;1;1;;1;5;1;3;5;2;3;1;7;1;2;;1;2;;;2;;1;1;1;;3;1;2;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
21;Algeria;DZA;Climate related disasters frequency, Number of Disasters: Wildfire;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;1;1;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
22;All Countries and International Organizations;ACQ;Climate related disasters frequency, Number of Disasters: TOTAL;107;118;122;158;119;135;122;164;173;147;237;178;168;230;213;215;208;232;254;301;372;344;375;318;302;407;354;385;326;314;366;296;316;296;292;354;294;319;290;361;375;391;351;356;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
23;American Samoa;ASM;Climate related disasters frequency, Number of Disasters: Flood;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
24;American Samoa;ASM;Climate related disasters frequency, Number of Disasters: Storm;;;;;;;;;;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
25;American Samoa;ASM;Climate related disasters frequency, Number of Disasters: TOTAL;;;;;;;;;;1;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
26;Angola;AGO;Climate related disasters frequency, Number of Disasters: Drought;;1;;;;1;;;;1;;;;;;;;1;;;;1;;;1;;;;;;;;1;;;;;1;;;1;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
27;Angola;AGO;Climate related disasters frequency, Number of Disasters: Flood;;;;;;;;;;1;;;;;;;;;;;4;2;1;2;3;1;1;2;1;3;3;4;;1;;3;4;1;1;3;2;2;;2;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
28;Angola;AGO;Climate related disasters frequency, Number of Disasters: Landslide;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
29;Angola;AGO;Climate related disasters frequency, Number of Disasters: TOTAL;;1;;;;1;;;;2;;;;;;;;1;;;5;3;1;2;4;1;1;2;1;3;3;4;1;1;;3;4;2;1;3;3;2;;2;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
30;Anguilla;AIA;Climate related disasters frequency, Number of Disasters: Storm;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
31;Anguilla;AIA;Climate related disasters frequency, Number of Disasters: TOTAL;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
32;Antigua and Barbuda;ATG;Climate related disasters frequency, Number of Disasters: Drought;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
33;Antigua and Barbuda;ATG;Climate related disasters frequency, Number of Disasters: Storm;;;;;;;;;;1;1;;;;;1;;;1;2;;;;;;;;;1;;1;;;;;;;1;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
34;Antigua and Barbuda;ATG;Climate related disasters frequency, Number of Disasters: TOTAL;;;;1;;;;;;1;1;;;;;1;;;1;2;;;;;;;;;1;;1;;;;;;;1;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
35;Argentina;ARG;Climate related disasters frequency, Number of Disasters: Drought;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;1;1;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
36;Argentina;ARG;Climate related disasters frequency, Number of Disasters: Extreme temperature;;;;;;;;;;;;;;;;1;;;;;1;1;1;;1;;;1;;;1;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
37;Argentina;ARG;Climate related disasters frequency, Number of Disasters: Flood;2;;1;2;;2;1;1;1;;1;;2;3;;2;;1;1;;4;3;1;2;2;;1;2;1;2;;;1;1;3;3;2;3;3;3;1;1;;1;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
38;Argentina;ARG;Climate related disasters frequency, Number of Disasters: Landslide;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;1;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
39;Argentina;ARG;Climate related disasters frequency, Number of Disasters: Storm;;;;;;;1;1;;;;;;1;;1;;;1;;2;2;1;1;;1;;;;1;;;2;1;;1;;;1;;1;;;2;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
40;Argentina;ARG;Climate related disasters frequency, Number of Disasters: TOTAL;2;;1;2;1;2;2;3;1;;1;;2;4;1;4;;1;2;1;8;7;3;4;3;1;1;3;1;5;1;;3;2;4;4;2;4;5;4;2;2;1;4;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
41;Argentina;ARG;Climate related disasters frequency, Number of Disasters: Wildfire;;;;;;;;1;;;;;;;1;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;1;1;1;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
42;Armenia, Rep. of;ARM;Climate related disasters frequency, Number of Disasters: Drought;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
43;Armenia, Rep. of;ARM;Climate related disasters frequency, Number of Disasters: Extreme temperature;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
44;Armenia, Rep. of;ARM;Climate related disasters frequency, Number of Disasters: Flood;;;;;;;;;;;;;;;;;;1;1;;;;;;1;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
45;Armenia, Rep. of;ARM;Climate related disasters frequency, Number of Disasters: Landslide;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
46;Armenia, Rep. of;ARM;Climate related disasters frequency, Number of Disasters: Storm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;1;1;;;1;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
47;Armenia, Rep. of;ARM;Climate related disasters frequency, Number of Disasters: TOTAL;;;;;;;;;;;;;;;;;;1;1;;1;;;;1;;;;;;;;;2;;;1;;1;1;1;;;1;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
48;Australia;AUS;Climate related disasters frequency, Number of Disasters: Drought;;1;;;;;;;;;;1;1;;;;;;;;;;1;;;;1;;;;;;;;;;;;1;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
49;Australia;AUS;Climate related disasters frequency, Number of Disasters: Extreme temperature;;;;;;;;;;;;;;1;2;1;;;;;;;;;;;;;;1;;;;;1;;;;1;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
50;Australia;AUS;Climate related disasters frequency, Number of Disasters: Flood;;1;;;1;;1;;2;1;2;;;1;;;2;1;6;;1;4;;4;3;1;1;1;4;2;5;1;2;;;1;1;;1;1;1;4;5;1;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
51;Australia;AUS;Climate related disasters frequency, Number of Disasters: Landslide;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
52;Australia;AUS;Climate related disasters frequency, Number of Disasters: Storm;;;3;;;1;3;;1;2;1;2;2;2;4;4;6;;;4;3;3;3;5;3;2;3;1;1;2;3;1;;1;1;4;1;2;;;2;2;;2;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
53;Australia;AUS;Climate related disasters frequency, Number of Disasters: TOTAL;;2;3;1;1;3;4;;3;3;4;3;3;4;8;5;9;4;6;5;5;9;5;10;6;4;8;2;5;6;8;3;2;3;4;8;3;3;3;3;3;7;5;3;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
54;Australia;AUS;Climate related disasters frequency, Number of Disasters: Wildfire;;;;1;;2;;;;;1;;;;2;;;2;;1;1;2;1;1;;1;3;;;1;;1;;2;2;3;1;1;;2;;1;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
55;Austria;AUT;Climate related disasters frequency, Number of Disasters: Extreme temperature;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;1;;;1;;;;;;;1;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
56;Austria;AUT;Climate related disasters frequency, Number of Disasters: Flood;1;;1;1;;1;;;;;;1;;;;1;1;1;;1;;;1;;;2;1;;;2;;;;1;;;1;;;;;1;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
57;Austria;AUT;Climate related disasters frequency, Number of Disasters: Landslide;;;1;;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
58;Austria;AUT;Climate related disasters frequency, Number of Disasters: Storm;;1;;;1;;;;;;5;1;;1;1;;;;;;1;;2;;;;;1;1;1;;;;;;;;2;;1;;;1;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
59;Austria;AUT;Climate related disasters frequency, Number of Disasters: TOTAL;1;1;2;1;2;1;;;;;5;2;;1;1;1;1;1;;2;2;;3;1;;3;1;2;1;4;;;1;1;;;1;2;;2;;1;1;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
60;Azerbaijan, Rep. of;AZE;Climate related disasters frequency, Number of Disasters: Drought;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
61;Azerbaijan, Rep. of;AZE;Climate related disasters frequency, Number of Disasters: Extreme temperature;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
62;Azerbaijan, Rep. of;AZE;Climate related disasters frequency, Number of Disasters: Flood;;;;;;;;;;;;;;;;3;;1;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
63;Azerbaijan, Rep. of;AZE;Climate related disasters frequency, Number of Disasters: Landslide;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
64;Azerbaijan, Rep. of;AZE;Climate related disasters frequency, Number of Disasters: TOTAL;;;;;;;;;;;;;;;;3;;1;;;2;;;1;;;;;;1;1;;1;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
65;Azores Island;AZO;Climate related disasters frequency, Number of Disasters: Landslide;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
66;Azores Island;AZO;Climate related disasters frequency, Number of Disasters: Storm;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
67;Azores Island;AZO;Climate related disasters frequency, Number of Disasters: TOTAL;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
68;Bahamas, The;BHS;Climate related disasters frequency, Number of Disasters: Flood;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
69;Bahamas, The;BHS;Climate related disasters frequency, Number of Disasters: Storm;;;;;;;;;;;1;;1;;;1;;;;1;;1;;;3;1;;1;2;;;1;1;;;1;1;1;;1;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
70;Bahamas, The;BHS;Climate related disasters frequency, Number of Disasters: TOTAL;;;;;;;;;1;;1;;1;;;1;;;;1;;1;;;3;1;;1;2;;;1;1;1;;1;1;1;;1;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
71;Bangladesh;BGD;Climate related disasters frequency, Number of Disasters: Drought;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
72;Bangladesh;BGD;Climate related disasters frequency, Number of Disasters: Extreme temperature;;;;;;;;;;2;2;1;;;1;1;1;1;1;;1;1;1;2;;2;;1;;1;;2;1;;;;;;1;1;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
73;Bangladesh;BGD;Climate related disasters frequency, Number of Disasters: Flood;1;;1;4;1;2;2;2;2;1;2;3;3;3;4;4;2;1;1;5;3;2;1;2;3;3;2;2;2;2;2;1;2;;2;2;1;2;2;1;1;1;1;1;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
74;Bangladesh;BGD;Climate related disasters frequency, Number of Disasters: Landslide;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;;1;;1;;1;;;;;The Emergency Events Database (EM-DAT) , Centre for Research on the Epidemiology of Disasters (CRED) / Université catholique de Louvain (UCLouvain), Brussels, Belgium – www.emdat.be. Accessed on 2023-03-31.
